slug,ID,model,input_tokens,output_tokens,total_tokens
Chart_1,0,deepseek-v3.2,3806,265,4071
Chart_10,1,deepseek-v3.2,2926,45,2971
Chart_11,2,deepseek-v3.2,5945,273,6218
Chart_12,3,deepseek-v3.2,3959,175,4134
Chart_12,3,deepseek-v3.2,3933,164,4097
Chart_12,3,deepseek-v3.2,4349,175,4524
Chart_12,3,deepseek-v3.2,3933,213,4146
Chart_12,3,deepseek-v3.2,4572,196,4768
Chart_12,3,deepseek-v3.2,4551,183,4734
Chart_12,3,deepseek-v3.2,4757,175,4932
Chart_12,3,deepseek-v3.2,3933,120,4053
Chart_12,3,deepseek-v3.2,3678,135,3813
Chart_12,3,deepseek-v3.2,3943,141,4084
Chart_13,4,deepseek-v3.2,5387,968,6355
Chart_17,5,deepseek-v3.2,2862,88,2950
Chart_17,5,deepseek-v3.2,2885,72,2957
Chart_20,6,deepseek-v3.2,2663,88,2751
Chart_24,7,deepseek-v3.2,3070,148,3218
Chart_26,8,deepseek-v3.2,18434,1589,20023
Chart_3,9,deepseek-v3.2,4321,205,4526
Chart_3,9,deepseek-v3.2,4292,228,4520
Chart_3,9,deepseek-v3.2,4460,323,4783
Chart_3,9,deepseek-v3.2,5634,342,5976
Chart_3,9,deepseek-v3.2,6018,421,6439
Chart_3,9,deepseek-v3.2,4741,299,5040
Chart_3,9,deepseek-v3.2,4840,296,5136
Chart_3,9,deepseek-v3.2,5062,266,5328
Chart_3,9,deepseek-v3.2,5186,278,5464
Chart_3,9,deepseek-v3.2,4321,181,4502
Chart_3,9,deepseek-v3.2,4227,214,4441
Chart_3,9,deepseek-v3.2,4445,214,4659
Chart_3,9,deepseek-v3.2,4642,277,4919
Chart_3,9,deepseek-v3.2,5084,281,5365
Chart_3,9,deepseek-v3.2,4717,286,5003
Chart_3,9,deepseek-v3.2,4505,189,4694
Chart_3,9,deepseek-v3.2,4540,175,4715
Chart_3,9,deepseek-v3.2,4561,187,4748
Chart_3,9,deepseek-v3.2,5030,325,5355
Chart_3,9,deepseek-v3.2,5378,344,5722
Chart_3,9,deepseek-v3.2,5745,381,6126
Chart_3,9,deepseek-v3.2,6149,286,6435
Chart_3,9,deepseek-v3.2,4505,189,4694
Chart_3,9,deepseek-v3.2,6462,190,6652
Chart_3,9,deepseek-v3.2,4306,226,4532
Chart_3,9,deepseek-v3.2,4436,221,4657
Chart_4,10,deepseek-v3.2,15795,584,16379
Chart_4,10,deepseek-v3.2,16590,932,17522
Chart_5,11,deepseek-v3.2,3972,307,4279
Chart_5,11,deepseek-v3.2,4055,438,4493
Chart_5,11,deepseek-v3.2,4750,485,5235
Chart_6,12,deepseek-v3.2,3002,53,3055
Chart_6,12,deepseek-v3.2,3101,144,3245
Chart_6,12,deepseek-v3.2,5396,192,5588
Chart_6,12,deepseek-v3.2,5850,475,6325
Chart_6,12,deepseek-v3.2,3270,64,3334
Chart_6,12,deepseek-v3.2,3120,109,3229
Chart_6,12,deepseek-v3.2,3627,183,3810
Chart_6,12,deepseek-v3.2,5493,129,5622
Chart_6,12,deepseek-v3.2,3361,79,3440
Chart_6,12,deepseek-v3.2,3209,89,3298
Chart_6,12,deepseek-v3.2,3350,167,3517
Chart_6,12,deepseek-v3.2,5456,404,5860
Chart_6,12,deepseek-v3.2,3467,96,3563
Chart_6,12,deepseek-v3.2,3586,80,3666
Chart_6,12,deepseek-v3.2,3689,79,3768
Chart_6,12,deepseek-v3.2,3791,96,3887
Chart_7,13,deepseek-v3.2,5554,658,6212
Chart_8,14,deepseek-v3.2,4943,39,4982
Chart_9,15,deepseek-v3.2,3857,352,4209
Cli_11,16,deepseek-v3.2,3675,138,3813
Cli_12,17,deepseek-v3.2,6736,477,7213
Cli_12,17,deepseek-v3.2,7733,673,8406
Cli_14,18,deepseek-v3.2,3587,301,3888
Cli_14,18,deepseek-v3.2,4099,307,4406
Cli_14,18,deepseek-v3.2,4429,307,4736
Cli_14,18,deepseek-v3.2,4759,312,5071
Cli_14,18,deepseek-v3.2,5094,312,5406
Cli_14,18,deepseek-v3.2,5429,312,5741
Cli_14,18,deepseek-v3.2,5764,333,6097
Cli_15,19,deepseek-v3.2,4260,264,4524
Cli_15,19,deepseek-v3.2,4735,336,5071
Cli_15,19,deepseek-v3.2,5093,233,5326
Cli_15,19,deepseek-v3.2,5349,269,5618
Cli_15,19,deepseek-v3.2,5641,279,5920
Cli_15,19,deepseek-v3.2,5943,300,6243
Cli_15,19,deepseek-v3.2,6266,280,6546
Cli_17,20,deepseek-v3.2,5175,241,5416
Cli_19,21,deepseek-v3.2,2818,135,2953
Cli_19,21,deepseek-v3.2,3164,188,3352
Cli_19,21,deepseek-v3.2,3375,145,3520
Cli_19,21,deepseek-v3.2,3543,135,3678
Cli_19,21,deepseek-v3.2,3701,185,3886
Cli_19,21,deepseek-v3.2,3909,135,4044
Cli_19,21,deepseek-v3.2,4067,135,4202
Cli_20,22,deepseek-v3.2,5847,358,6205
Cli_20,22,deepseek-v3.2,5620,371,5991
Cli_20,22,deepseek-v3.2,5979,428,6407
Cli_20,22,deepseek-v3.2,5592,492,6084
Cli_20,22,deepseek-v3.2,6420,361,6781
Cli_20,22,deepseek-v3.2,6804,427,7231
Cli_20,22,deepseek-v3.2,5723,454,6177
Cli_20,22,deepseek-v3.2,5626,325,5951
Cli_20,22,deepseek-v3.2,6269,401,6670
Cli_20,22,deepseek-v3.2,6983,401,7384
Cli_20,22,deepseek-v3.2,7258,370,7628
Cli_20,22,deepseek-v3.2,5733,367,6100
Cli_20,22,deepseek-v3.2,6084,457,6541
Cli_23,23,deepseek-v3.2,5873,316,6189
