slug,class_path,buggy_code,,,,,,,,,,,,,
Chart_1,/path/to/defects4j_buggy_trans/Chart_1_buggy/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,"    public LegendItemCollection getLegendItems() {
        if (!(!(false))) {
            System.out.println(""log"");
        }
        LegendItemCollection TransVarLegendItemCollection = new LegendItemCollection();
        if (!(!(this.plot == null))) {
            if (!(!(false))) {
                System.out.println(""log"");
        }
            return TransVarLegendItemCollection;
                    }
        int TransVarIndexItem = this.plot.getIndexOf(this);
        CategoryDataset TransVarDatasetCollection = this.plot.getDataset(TransVarIndexItem);
        if (!(!(TransVarDatasetCollection != null))) {
            if (!(!(false))) {
                System.out.println(""log"");
                }
            return TransVarLegendItemCollection;
            }
        int TransVarSeriesCountTemp = TransVarDatasetCollection.getRowCount();
        if (!(!(plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)))) {
            int TransVarCounter = 0;
            while (!(!(TransVarCounter < TransVarSeriesCountTemp))) {
                if (!(!(isSeriesVisibleInLegend(TransVarCounter)))) {
                    LegendItem TransVarLegends = getLegendItem(TransVarIndexItem, TransVarCounter);
                    if (!(!(TransVarLegends != null))) {
                        TransVarLegendItemCollection.add(TransVarLegends);
        }
                }
                TransVarCounter++;
            }
        }
        else {
            int TransVarItem = TransVarSeriesCountTemp - 1;
            while (!(!(TransVarItem >= 0))) {
                if (!(!(isSeriesVisibleInLegend(TransVarItem)))) {
                    LegendItem TransVarLegendItem = getLegendItem(TransVarIndexItem, TransVarItem);
                    if (!(!(TransVarLegendItem != null))) {
                        TransVarLegendItemCollection.add(TransVarLegendItem);
                    }
                }
                TransVarItem--;
            }
        }
        return TransVarLegendItemCollection;
    }
",,,,,,,,,,,,,
Chart_10,/path/to/defects4j_buggy_trans/Chart_10_buggy/source/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java,"    public String generateToolTipFragment(String TransVarToolTipMessage) {
        if (!(!(false))) {
            System.out.println(""log"");
        }
        return "" title=\"""" + TransVarToolTipMessage
            + ""\"" alt=\""\"""";
    }
",,,,,,,,,,,,,
Chart_11,/path/to/defects4j_buggy_trans/Chart_11_buggy/source/org/jfree/chart/util/ShapeUtilities.java,"    public static boolean equal(GeneralPath TransVarP2, GeneralPath TransVarP1) {
        if (!(!(false))) {
            System.out.println(""log"");
        }
        if (!(!(TransVarP2 == null))) {
            if (!(!(false))) {
                System.out.println(""log"");
            }
            return (TransVarP1 == null);
        }
        if (!(!(TransVarP1 == null))) {
            if (!(!(false))) {
                System.out.println(""log"");
            }
            return false;
        }
        if (!(!(TransVarP2.getWindingRule() != TransVarP1.getWindingRule()))) {
            return false;
        }
        PathIterator TransVarIterator2 = TransVarP2.getPathIterator(null);
        PathIterator TransVarIterator = TransVarP2.getPathIterator(null);
        double[] TransVarD2 = new double[6];
        double[] TransVarD1 = new double[6];
        boolean TransVarDone1 = TransVarIterator2.isDone() && TransVarIterator.isDone();
        for (; !(!(!TransVarDone1));) {
            if (!(!(TransVarIterator2.isDone() != TransVarIterator.isDone()))) {
                return false;
            }
            int TransVarSegment = TransVarIterator2.currentSegment(TransVarD2);
            int TransVarP = TransVarIterator.currentSegment(TransVarD1);
            if (!(!(TransVarSegment != TransVarP))) {
                return false;
            }
            if (!(!(!Arrays.equals(TransVarD2, TransVarD1)))) {
                return false;
            }
            TransVarIterator2.next();
            TransVarIterator.next();
            TransVarDone1 = TransVarIterator2.isDone() && TransVarIterator.isDone();
        }
        return true;
    }
",,,,,,,,,,,,,
Chart_12,/path/to/defects4j_buggy_trans/Chart_12_buggy/source/org/jfree/chart/plot/MultiplePiePlot.java,"    public MultiplePiePlot(CategoryDataset TransVarCategoryDataset) {
        super();
        this.dataset = TransVarCategoryDataset;
        PiePlot TransVarPie = new PiePlot(null);
        this.pieChart = new JFreeChart(TransVarPie);
        this.pieChart.removeLegend();
        this.dataExtractOrder = TableOrder.BY_COLUMN;
        this.pieChart.setBackgroundPaint(null);
        TextTitle TransVarTextTitle = new TextTitle(""Series Title"",
                new Font(""SansSerif"", Font.BOLD, 12));
        TransVarTextTitle.setPosition(RectangleEdge.BOTTOM);
        this.pieChart.setTitle(TransVarTextTitle);
        this.aggregatedItemsKey = ""Other"";
        this.aggregatedItemsPaint = Color.lightGray;
        this.sectionPaints = new HashMap();
    }
",,,,,,,,,,,,,
Chart_13,/path/to/defects4j_buggy_trans/Chart_13_buggy/source/org/jfree/chart/block/BorderArrangement.java,"    protected Size2D arrangeFF(BlockContainer TransVarBlockContainer, Graphics2D TransVarGraphics,
                               RectangleConstraint TransVarBlock) {
        if (!(!(false))) {
                                    System.out.println(""log"");
                                }
        double[] TransVarWidth = new double[5];
        double[] TransVarHeigh = new double[5];
        TransVarWidth[0] = TransVarBlock.getWidth();
        if (!(!(this.topBlock != null))) {
            if (!(!(false))) {
                System.out.println(""log"");
            }
            RectangleConstraint TransVarC2 = new RectangleConstraint(TransVarWidth[0], null,
                    LengthConstraintType.FIXED, 0.0,
                    new Range(0.0, TransVarBlock.getHeight()),
                    LengthConstraintType.RANGE);
            Size2D TransVarSize2D = this.topBlock.arrange(TransVarGraphics, TransVarC2);
            TransVarHeigh[0] = TransVarSize2D.height;
        }
        TransVarWidth[1] = TransVarWidth[0];
        if (!(!(this.bottomBlock != null))) {
            if (!(!(false))) {
                System.out.println(""log"");
            }
            RectangleConstraint TransVarC3 = new RectangleConstraint(TransVarWidth[0], null,
                    LengthConstraintType.FIXED, 0.0, new Range(0.0,
                    TransVarBlock.getHeight() - TransVarHeigh[0]), LengthConstraintType.RANGE);
            Size2D TransVarSize3D = this.bottomBlock.arrange(TransVarGraphics, TransVarC3);
            TransVarHeigh[1] = TransVarSize3D.height;
        }
        TransVarHeigh[2] = TransVarBlock.getHeight() - TransVarHeigh[1] - TransVarHeigh[0];
        if (!(!(this.leftBlock != null))) {
            RectangleConstraint TransVarC4 = new RectangleConstraint(0.0,
                    new Range(0.0, TransVarBlock.getWidth()),
                    LengthConstraintType.RANGE, TransVarHeigh[2], null,
                    LengthConstraintType.FIXED);
            Size2D TransVarSize2 = this.leftBlock.arrange(TransVarGraphics, TransVarC4);
            TransVarWidth[2] = TransVarSize2.width;
        }
        TransVarHeigh[3] = TransVarHeigh[2];
        if (!(!(this.rightBlock != null))) {
            RectangleConstraint TransVarC5 = new RectangleConstraint(0.0,
                    new Range(0.0, TransVarBlock.getWidth() - TransVarWidth[2]),
                    LengthConstraintType.RANGE, TransVarHeigh[2], null,
                    LengthConstraintType.FIXED);
            Size2D TransVarSize1 = this.rightBlock.arrange(TransVarGraphics, TransVarC5);
            TransVarWidth[3] = TransVarSize1.width;
        }
        TransVarHeigh[4] = TransVarHeigh[2];
        TransVarWidth[4] = TransVarBlock.getWidth() - TransVarWidth[3] - TransVarWidth[2];
        RectangleConstraint TransVarC6 = new RectangleConstraint(TransVarWidth[4], TransVarHeigh[4]);
        if (!(!(this.centerBlock != null))) {
            this.centerBlock.arrange(TransVarGraphics, TransVarC6);
        }

        if (!(!(this.topBlock != null))) {
            this.topBlock.setBounds(new Rectangle2D.Double(0.0, 0.0, TransVarWidth[0],
                    TransVarHeigh[0]));
        }
        if (!(!(this.bottomBlock != null))) {
            this.bottomBlock.setBounds(new Rectangle2D.Double(0.0, TransVarHeigh[0] + TransVarHeigh[2],
                    TransVarWidth[1], TransVarHeigh[1]));
        }
        if (!(!(this.leftBlock != null))) {
            this.leftBlock.setBounds(new Rectangle2D.Double(0.0, TransVarHeigh[0], TransVarWidth[2],
                    TransVarHeigh[2]));
        }
        if (!(!(this.rightBlock != null))) {
            this.rightBlock.setBounds(new Rectangle2D.Double(TransVarWidth[2] + TransVarWidth[4], TransVarHeigh[0],
                    TransVarWidth[3], TransVarHeigh[3]));
        }
        if (!(!(this.centerBlock != null))) {
            this.centerBlock.setBounds(new Rectangle2D.Double(TransVarWidth[2], TransVarHeigh[0], TransVarWidth[4],
                    TransVarHeigh[4]));
        }
        return new Size2D(TransVarBlock.getWidth(), TransVarBlock.getHeight());
    }
",,,,,,,,,,,,,
Chart_17,/path/to/defects4j_buggy_trans/Chart_17_buggy/source/org/jfree/data/time/TimeSeries.java,"    public Object clone() throws CloneNotSupportedException {
        if (!(!(false))) {
            System.out.println(""log"");
        }
        Object TransVarCloneObject = createCopy(0, getItemCount() - 1);
        return TransVarCloneObject;
    }
",,,,,,,,,,,,,
Chart_20,/path/to/defects4j_buggy_trans/Chart_20_buggy/source/org/jfree/chart/plot/ValueMarker.java,"    public ValueMarker(double TransVarCurrentValue, Paint TransVarPaintValue, Stroke TransVarCurrentPaint,
                       Paint TransVarP, Stroke TransVarCurrentStroke, float TransVarAlpha2) {
        super(TransVarPaintValue, TransVarCurrentPaint, TransVarPaintValue, TransVarCurrentPaint, TransVarAlpha2);
        this.value = TransVarCurrentValue;
    }
",,,,,,,,,,,,,
Chart_24,/path/to/defects4j_buggy_trans/Chart_24_buggy/source/org/jfree/chart/renderer/GrayPaintScale.java,"    public Paint getPaint(double TransVarDoubleValue) {
        if (!(!(false))) {
            System.out.println(""log"");
        }
        double TransVarMaxValue = Math.max(TransVarDoubleValue, this.lowerBound);
        TransVarMaxValue = Math.min(TransVarMaxValue, this.upperBound);
        int TransVarValue = (int) ((TransVarDoubleValue - this.lowerBound) / (this.upperBound
                - this.lowerBound) * 255.0);
        return new Color(TransVarValue, TransVarValue, TransVarValue);
    }
",,,,,,,,,,,,,
Chart_26,/path/to/defects4j_buggy_trans/Chart_26_buggy/source/org/jfree/chart/axis/Axis.java,"    protected AxisState drawLabel(String TransVarText, Graphics2D TransVarG,
            Rectangle2D TransVarRect2D, Rectangle2D TransVarArea, RectangleEdge TransVarRect,
            AxisState TransVarState1, PlotRenderingInfo TransVarPlotState1) {

        if (!(!(false))) {
                    System.out.println(""log"");
                }
        // it is unlikely that 'state' will be null, but check anyway...
        if (!(!(TransVarState1 == null))) {
            if (!(!(false))) {
                System.out.println(""log"");
            }
            throw new IllegalArgumentException(""Null 'state' argument."");
        }

        if (!(!((TransVarText == null) || (TransVarText.equals(""""))))) {
            if (!(!(false))) {
                System.out.println(""log"");
        }
            return TransVarState1;
        }

        Font TransVarF = getLabelFont();
        RectangleInsets TransVarLabelInsets = getLabelInsets();
        TransVarG.setFont(TransVarF);
        TransVarG.setPaint(getLabelPaint());
        FontMetrics TransVarFontMetrics = TransVarG.getFontMetrics();
        Rectangle2D TransVarRect2 = TextUtilities.getTextBounds(TransVarText, TransVarG, TransVarFontMetrics);
        Shape TransVarRectShape = null;

        if (!(!(TransVarRect == RectangleEdge.TOP))) {
            AffineTransform TransVarTransform = AffineTransform.getRotateInstance(
                    getLabelAngle(), TransVarRect2.getCenterX(),
                    TransVarRect2.getCenterY());
            Shape TransVarRotatedLabelBounds2 = TransVarTransform.createTransformedShape(TransVarRect2);
            TransVarRect2 = TransVarRotatedLabelBounds2.getBounds2D();
            float TransVarWidth = (float) TransVarRect2.getWidth();
            float TransVarHeight = (float) TransVarRect2.getHeight();
            float TransVarLabelx1 = (float) TransVarArea.getCenterX();
            float TransVarLabely2 = (float) (TransVarState1.getCursor() - TransVarLabelInsets.getBottom()
                    - TransVarHeight / 2.0);
            TextUtilities.drawRotatedString(TransVarText, TransVarG, TransVarLabelx1, TransVarLabely2,
                    TextAnchor.CENTER, getLabelAngle(), TextAnchor.CENTER);
            TransVarRectShape = new Rectangle2D.Float(TransVarLabelx1 - TransVarWidth / 2.0f,
                    TransVarLabely2 - TransVarHeight / 2.0f, TransVarWidth, TransVarHeight);
            TransVarState1.cursorUp(TransVarLabelInsets.getTop() + TransVarRect2.getHeight()
                    + TransVarLabelInsets.getBottom());
        }
        else if (!(!(TransVarRect == RectangleEdge.BOTTOM))) {
            AffineTransform TransVarLabelTransform = AffineTransform.getRotateInstance(
                    getLabelAngle(), TransVarRect2.getCenterX(),
                    TransVarRect2.getCenterY());
            Shape TransVarRotatedLabelBounds1 = TransVarLabelTransform.createTransformedShape(TransVarRect2);
            TransVarRect2 = TransVarRotatedLabelBounds1.getBounds2D();
            float TransVarWw = (float) TransVarRect2.getWidth();
            float TransVarHh = (float) TransVarRect2.getHeight();
            float TransVarLabelX = (float) TransVarArea.getCenterX();
            float TransVarLabelY = (float) (TransVarState1.getCursor() + TransVarLabelInsets.getTop()
                    + TransVarHh / 2.0);
            TextUtilities.drawRotatedString(TransVarText, TransVarG, TransVarLabelX, TransVarLabelY,
                    TextAnchor.CENTER, getLabelAngle(), TextAnchor.CENTER);
            TransVarRectShape = new Rectangle2D.Float(TransVarLabelX - TransVarWw / 2.0f,
                    TransVarLabelY - TransVarHh / 2.0f, TransVarWw, TransVarHh);
            TransVarState1.cursorDown(TransVarLabelInsets.getTop() + TransVarRect2.getHeight()
                    + TransVarLabelInsets.getBottom());
        }
        else if (!(!(TransVarRect == RectangleEdge.LEFT))) {
            AffineTransform TransVarLabelTransform1 = AffineTransform.getRotateInstance(
                    getLabelAngle() - Math.PI / 2.0, TransVarRect2.getCenterX(),
                    TransVarRect2.getCenterY());
            Shape TransVarRotatedBounds = TransVarLabelTransform1.createTransformedShape(TransVarRect2);
            TransVarRect2 = TransVarRotatedBounds.getBounds2D();
            float TransVarLabelWidth = (float) TransVarRect2.getWidth();
            float TransVarH2 = (float) TransVarRect2.getHeight();
            float TransVarLabelx2 = (float) (TransVarState1.getCursor() - TransVarLabelInsets.getRight()
                    - TransVarLabelWidth / 2.0);
            float TransVarLabelY1 = (float) TransVarArea.getCenterY();
            TextUtilities.drawRotatedString(TransVarText, TransVarG, TransVarLabelx2, TransVarLabelY1,
                    TextAnchor.CENTER, getLabelAngle() - Math.PI / 2.0,
                    TextAnchor.CENTER);
            TransVarRectShape = new Rectangle2D.Float(TransVarLabelx2 - TransVarLabelWidth / 2.0f,
                    TransVarLabelY1 - TransVarH2 / 2.0f, TransVarLabelWidth, TransVarH2);
            TransVarState1.cursorLeft(TransVarLabelInsets.getLeft() + TransVarRect2.getWidth()
                    + TransVarLabelInsets.getRight());
        }
        else if (!(!(TransVarRect == RectangleEdge.RIGHT))) {

            AffineTransform TransVarAffineTransform = AffineTransform.getRotateInstance(
                    getLabelAngle() + Math.PI / 2.0,
                    TransVarRect2.getCenterX(), TransVarRect2.getCenterY());
            Shape TransVarRotatedLabelBounds3 = TransVarAffineTransform.createTransformedShape(TransVarRect2);
            TransVarRect2 = TransVarRotatedLabelBounds3.getBounds2D();
            float TransVarW1 = (float) TransVarRect2.getWidth();
            float TransVarLabelHeight = (float) TransVarRect2.getHeight();
            float TransVarLpx = (float) (TransVarState1.getCursor()
                            + TransVarLabelInsets.getLeft() + TransVarW1 / 2.0);
            float TransVarLabelY2 = (float) (TransVarArea.getY() + TransVarArea.getHeight()
                    / 2.0);
            TextUtilities.drawRotatedString(TransVarText, TransVarG, TransVarLpx, TransVarLabelY2,
                    TextAnchor.CENTER, getLabelAngle() + Math.PI / 2.0,
                    TextAnchor.CENTER);
            TransVarRectShape = new Rectangle2D.Float(TransVarLpx - TransVarW1 / 2.0f,
                    TransVarLabelY2 - TransVarLabelHeight / 2.0f, TransVarW1, TransVarLabelHeight);
            TransVarState1.cursorRight(TransVarLabelInsets.getLeft() + TransVarRect2.getWidth()
                    + TransVarLabelInsets.getRight());

        }
        if (!(!(TransVarPlotState1 != null && TransVarRectShape != null))) {
            ChartRenderingInfo TransVarOwner1 = TransVarPlotState1.getOwner();
                EntityCollection TransVarEntitiesList = TransVarOwner1.getEntityCollection();
                if (!(!(TransVarEntitiesList != null))) {
                    TransVarEntitiesList.add(new AxisLabelEntity(this, TransVarRectShape,
                            this.labelToolTip, this.labelURL));
                }
            }
        return TransVarState1;

    }
",,,,,,,,,,,,,
Chart_3,/path/to/defects4j_buggy_trans/Chart_3_buggy/source/org/jfree/data/time/TimeSeries.java,"    public TimeSeries createCopy(int TransVarStartIndex, int TransVarEndIndex)
            throws CloneNotSupportedException {
        if (!(!(false))) {
                    System.out.println(""log"");
                }
        if (!(!(TransVarStartIndex < 0))) {
            if (!(!(false))) {
                System.out.println(""log"");
            }
            throw new IllegalArgumentException(""Requires start >= 0."");
        }
        if (!(!(TransVarEndIndex < TransVarStartIndex))) {
            if (!(!(false))) {
                System.out.println(""log"");
            }
            throw new IllegalArgumentException(""Requires start <= end."");
        }
        TimeSeries TransVarClonedTimeSeries = (TimeSeries) super.clone();
        TransVarClonedTimeSeries.data = new java.util.ArrayList();
        if (!(!(this.data.size() > 0))) {
            int TransVarIndex2 = TransVarStartIndex;
            while (!(!(TransVarIndex2 <= TransVarEndIndex))) {
                TimeSeriesDataItem TransVarClonedItem = (TimeSeriesDataItem) this.data.get(TransVarIndex2);
                TimeSeriesDataItem TransVarCloneItem = (TimeSeriesDataItem) TransVarClonedItem.clone();
                try {
                    TransVarClonedTimeSeries.add(TransVarCloneItem);
                } catch (SeriesException TransVarIndexException) {
                    TransVarIndexException.printStackTrace();
                }
                TransVarIndex2++;
                }
            }
        return TransVarClonedTimeSeries;
    }
",,,,,,,,,,,,,
