slug,ID,model,input_tokens,output_tokens,total_tokens
Chart_10b_1,0,deepseek-chat,2431,55,2486
Chart_10b_1,0,deepseek-chat,2697,62,2759
Chart_10b_1,0,deepseek-chat,2782,62,2844
Chart_10b_1,0,deepseek-chat,2867,76,2943
Chart_10b_1,0,deepseek-chat,2966,82,3048
Chart_10b_1,0,deepseek-chat,3071,82,3153
Chart_10b_1,0,deepseek-chat,3176,62,3238
Chart_10b_2,1,deepseek-chat,2903,43,2946
Chart_11b_1,2,deepseek-chat,5400,262,5662
Chart_12b_1,3,deepseek-chat,2392,43,2435
Chart_12b_1,3,deepseek-chat,2646,41,2687
Chart_12b_1,3,deepseek-chat,2710,41,2751
Chart_12b_1,3,deepseek-chat,2774,43,2817
Chart_12b_1,3,deepseek-chat,2840,43,2883
Chart_12b_1,3,deepseek-chat,2906,52,2958
Chart_12b_1,3,deepseek-chat,2981,81,3062
Chart_13b_1,4,deepseek-chat,6668,212,6880
Chart_13b_1,4,deepseek-chat,7091,253,7344
Chart_13b_1,4,deepseek-chat,7367,266,7633
Chart_13b_1,4,deepseek-chat,7656,294,7950
Chart_13b_1,4,deepseek-chat,7973,258,8231
Chart_13b_1,4,deepseek-chat,8254,301,8555
Chart_13b_1,4,deepseek-chat,8578,289,8867
Chart_13b_2,5,deepseek-chat,5178,606,5784
Chart_13b_2,5,deepseek-chat,6463,613,7076
Chart_13b_2,5,deepseek-chat,7321,653,7974
Chart_13b_2,5,deepseek-chat,8205,721,8926
Chart_13b_2,5,deepseek-chat,8325,876,9201
Chart_13b_2,5,deepseek-chat,5999,606,6605
Chart_13b_2,5,deepseek-chat,6463,613,7076
Chart_13b_2,5,deepseek-chat,7321,626,7947
Chart_13b_2,5,deepseek-chat,6832,653,7485
Chart_13b_2,5,deepseek-chat,8559,789,9348
Chart_13b_2,5,deepseek-chat,6632,646,7278
Chart_13b_2,5,deepseek-chat,6756,612,7368
Chart_13b_2,5,deepseek-chat,6349,594,6943
Chart_13b_2,5,deepseek-chat,6810,628,7438
Chart_13b_2,5,deepseek-chat,8507,961,9468
Chart_13b_2,5,deepseek-chat,7305,646,7951
Chart_13b_2,5,deepseek-chat,6461,653,7114
Chart_13b_2,5,deepseek-chat,7310,653,7963
Chart_13b_2,5,deepseek-chat,7988,661,8649
Chart_13b_2,5,deepseek-chat,8524,653,9177
Chart_13b_2,5,deepseek-chat,7978,646,8624
Chart_13b_2,5,deepseek-chat,6756,654,7410
Chart_13b_2,5,deepseek-chat,6952,668,7620
Chart_13b_2,5,deepseek-chat,7066,648,7714
Chart_13b_2,5,deepseek-chat,8188,668,8856
Chart_13b_2,5,deepseek-chat,8651,646,9297
Chart_13b_2,5,deepseek-chat,6461,654,7115
Chart_13b_2,5,deepseek-chat,7232,654,7886
Chart_13b_2,5,deepseek-chat,7911,654,8565
Chart_13b_2,5,deepseek-chat,8590,654,9244
Chart_13b_2,5,deepseek-chat,9324,654,9978
Chart_13b_2,5,deepseek-chat,6241,654,6895
Chart_13b_2,5,deepseek-chat,6920,683,7603
Chart_13b_2,5,deepseek-chat,7210,676,7886
Chart_13b_2,5,deepseek-chat,9074,704,9778
Chart_13b_3,6,deepseek-chat,4865,778,5643
Chart_17b_1,9,deepseek-chat,2633,185,2818
Chart_17b_1,9,deepseek-chat,3056,214,3270
Chart_17b_1,9,deepseek-chat,3324,236,3560
Chart_17b_1,9,deepseek-chat,3609,233,3842
Chart_17b_1,9,deepseek-chat,3862,220,4082
Chart_17b_1,9,deepseek-chat,3033,191,3224
Chart_17b_1,9,deepseek-chat,3068,214,3282
Chart_17b_1,9,deepseek-chat,3330,220,3550
Chart_17b_1,9,deepseek-chat,3581,233,3814
Chart_17b_1,9,deepseek-chat,3852,245,4097
Chart_17b_1,9,deepseek-chat,3251,198,3449
Chart_17b_1,9,deepseek-chat,3082,209,3291
Chart_17b_1,9,deepseek-chat,3327,220,3547
Chart_17b_1,9,deepseek-chat,3583,220,3803
Chart_17b_1,9,deepseek-chat,3828,220,4048
Chart_17b_1,9,deepseek-chat,3476,203,3679
Chart_17b_1,9,deepseek-chat,3092,255,3347
Chart_17b_1,9,deepseek-chat,3426,239,3665
Chart_17b_1,9,deepseek-chat,3672,245,3917
Chart_17b_1,9,deepseek-chat,3948,267,4215
Chart_17b_1,9,deepseek-chat,3706,228,3934
Chart_17b_1,9,deepseek-chat,3142,255,3397
Chart_17b_1,9,deepseek-chat,3451,239,3690
Chart_17b_1,9,deepseek-chat,3697,246,3943
Chart_17b_1,9,deepseek-chat,3975,246,4221
Chart_17b_1,9,deepseek-chat,3961,209,4170
Chart_17b_1,9,deepseek-chat,3104,220,3324
Chart_17b_1,9,deepseek-chat,3360,242,3602
Chart_17b_1,9,deepseek-chat,3651,220,3871
Chart_17b_1,9,deepseek-chat,3872,220,4092
Chart_17b_1,9,deepseek-chat,4197,191,4388
Chart_17b_1,9,deepseek-chat,3068,231,3299
Chart_17b_1,9,deepseek-chat,3366,211,3577
Chart_17b_1,9,deepseek-chat,3580,196,3776
Chart_17b_1,9,deepseek-chat,4151,249,4400
Chart_17b_2,10,deepseek-chat,2837,63,2900
Chart_17b_2,10,deepseek-chat,3057,63,3120
Chart_1b_1,14,deepseek-chat,2464,83,2547
Chart_1b_1,14,deepseek-chat,2758,71,2829
Chart_1b_1,14,deepseek-chat,2852,72,2924
Chart_1b_1,14,deepseek-chat,2947,87,3034
Chart_1b_1,14,deepseek-chat,3057,76,3133
Chart_1b_1,14,deepseek-chat,3156,76,3232
Chart_1b_1,14,deepseek-chat,3255,90,3345
Chart_1b_2,15,deepseek-chat,3595,239,3834
Chart_20b_1,17,deepseek-chat,2614,57,2671
Chart_24b_1,19,deepseek-chat,2995,97,3092
Chart_26b_1,21,deepseek-chat,3091,21,3112
Chart_26b_1,21,deepseek-chat,4544,32,4576
Chart_26b_1,21,deepseek-chat,3327,26,3353
Chart_26b_1,21,deepseek-chat,8090,31,8121
Chart_26b_1,21,deepseek-chat,3380,30,3410
Chart_26b_1,21,deepseek-chat,3433,30,3463
Chart_26b_1,21,deepseek-chat,3486,31,3517
Chart_26b_1,21,deepseek-chat,3540,39,3579
Chart_26b_1,21,deepseek-chat,3602,30,3632
Chart_26b_2,22,deepseek-chat,3092,29,3121
Chart_26b_2,22,deepseek-chat,5720,55,5775
Chart_26b_2,22,deepseek-chat,12690,56,12746
Chart_26b_2,22,deepseek-chat,13821,55,13876
Chart_26b_2,22,deepseek-chat,13900,56,13956
Chart_26b_2,22,deepseek-chat,3336,36,3372
Chart_26b_2,22,deepseek-chat,5734,42,5776
Chart_26b_2,22,deepseek-chat,12671,50,12721
Chart_26b_2,22,deepseek-chat,13803,55,13858
Chart_26b_2,22,deepseek-chat,13888,56,13944
Chart_26b_2,22,deepseek-chat,3399,28,3427
Chart_26b_2,22,deepseek-chat,5718,22,5740
Chart_26b_2,22,deepseek-chat,4599,29,4628
Chart_26b_2,22,deepseek-chat,5820,37,5857
Chart_26b_2,22,deepseek-chat,8002,49,8051
Chart_26b_2,22,deepseek-chat,3454,51,3505
Chart_26b_2,22,deepseek-chat,12628,56,12684
Chart_26b_2,22,deepseek-chat,13763,55,13818
Chart_26b_2,22,deepseek-chat,13842,56,13898
Chart_26b_2,22,deepseek-chat,13924,55,13979
Chart_26b_2,22,deepseek-chat,3532,35,3567
Chart_26b_2,22,deepseek-chat,10484,50,10534
Chart_26b_2,22,deepseek-chat,13735,55,13790
Chart_26b_2,22,deepseek-chat,13820,58,13878
Chart_26b_2,22,deepseek-chat,13906,57,13963
Chart_26b_2,22,deepseek-chat,3594,29,3623
Chart_26b_2,22,deepseek-chat,5720,22,5742
Chart_26b_2,22,deepseek-chat,4600,36,4636
Chart_26b_2,22,deepseek-chat,5835,46,5881
Chart_26b_2,22,deepseek-chat,12780,58,12838
Chart_26b_2,22,deepseek-chat,3650,32,3682
Chart_26b_2,22,deepseek-chat,5726,36,5762
Chart_26b_2,22,deepseek-chat,5791,42,5833
Chart_26b_2,22,deepseek-chat,12728,51,12779
Chart_26b_2,22,deepseek-chat,13862,57,13919
Chart_26b_3,23,deepseek-chat,3094,42,3136
Chart_26b_3,23,deepseek-chat,3347,55,3402
Chart_26b_3,23,deepseek-chat,5904,54,5958
Chart_26b_3,23,deepseek-chat,5982,86,6068
Chart_26b_3,23,deepseek-chat,9513,87,9600
Chart_26b_3,23,deepseek-chat,13514,94,13608
Chart_26b_3,23,deepseek-chat,3429,46,3475
Chart_26b_3,23,deepseek-chat,3498,45,3543
Chart_26b_3,23,deepseek-chat,3566,49,3615
Chart_26b_3,23,deepseek-chat,5892,52,5944
Chart_26b_3,23,deepseek-chat,5972,58,6030
Chart_26b_3,23,deepseek-chat,3642,51,3693
Chart_26b_3,23,deepseek-chat,5896,54,5950
Chart_26b_3,23,deepseek-chat,5978,93,6071
Chart_26b_3,23,deepseek-chat,13593,111,13704
Chart_26b_3,23,deepseek-chat,12570,132,12702
Chart_26b_3,23,deepseek-chat,3720,45,3765
Chart_26b_4,24,deepseek-chat,3076,41,3117
Chart_26b_4,24,deepseek-chat,4204,44,4248
Chart_26b_4,24,deepseek-chat,4276,57,4333
Chart_26b_4,24,deepseek-chat,4371,96,4467
Chart_26b_4,24,deepseek-chat,4531,108,4639
Chart_26b_4,24,deepseek-chat,3332,43,3375
Chart_26b_4,24,deepseek-chat,3398,43,3441
Chart_26b_4,24,deepseek-chat,3464,45,3509
Chart_26b_4,24,deepseek-chat,3532,41,3573
Chart_26b_4,24,deepseek-chat,4204,44,4248
Chart_26b_4,24,deepseek-chat,4276,68,4344
Chart_26b_4,24,deepseek-chat,4393,68,4461
Chart_26b_4,24,deepseek-chat,4486,84,4570
Chart_26b_4,24,deepseek-chat,3600,43,3643
Chart_26b_4,24,deepseek-chat,3666,41,3707
Chart_26b_4,24,deepseek-chat,4204,44,4248
Chart_26b_4,24,deepseek-chat,4276,89,4365
Chart_26b_4,24,deepseek-chat,8483,94,8577
Chart_26b_4,24,deepseek-chat,11305,146,11451
Chart_26b_5,25,deepseek-chat,3095,62,3157
Chart_26b_5,25,deepseek-chat,5918,65,5983
Chart_26b_5,25,deepseek-chat,6011,67,6078
Chart_26b_5,25,deepseek-chat,3372,65,3437
Chart_26b_5,25,deepseek-chat,5924,66,5990
Chart_26b_5,25,deepseek-chat,3464,43,3507
